task,target,feature_set,model,mae,rmse,r2,validation,split,fold,n,model_label,target_id,target_order,target_label,axis_label,unit
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",GPR_Matern_ARD,0.1454982641403523,0.1702881558864458,0.9558954221460596,External validation,external_predict,,8.0,GPR-Matern-ARD,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",KernelRidge_RBF,0.138535024399236,0.1675230689351915,0.957316106684,External validation,external_predict,,8.0,KRR-RBF,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",SVR_RBF,0.1756559031246738,0.215679353279517,0.9292491063014036,External validation,external_predict,,8.0,SVR-RBF,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",Ridge,0.2255860091039734,0.268637937680627,0.8902386413089164,External validation,external_predict,,8.0,Ridge,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",XGBoost,0.4204609765802002,0.4875174544020548,0.6385109693260476,External validation,external_predict,,8.0,XGBoost,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",ExtraTrees,0.1711508296882004,0.1971326131391879,0.9408939764439336,External validation,external_predict,,8.0,Extra Trees,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",RandomForest,0.4054189238339804,0.489316082352987,0.6358387217954546,External validation,external_predict,,8.0,Random forest,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",GradientBoosting,0.4133704324315732,0.4691111681235578,0.6652918175504252,External validation,external_predict,,8.0,Gradient boosting,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",GPR_Matern_ARD,0.12892862974367245,0.16329602900576506,0.9791600355555629,Internal 5-fold CV,internal_xg_stratified_cv,,,GPR-Matern-ARD,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",KernelRidge_RBF,0.26452026934478573,0.3809157166390443,0.8866024921167094,Internal 5-fold CV,internal_xg_stratified_cv,,,KRR-RBF,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",SVR_RBF,0.16503696143830834,0.24621398849303877,0.9526226055210011,Internal 5-fold CV,internal_xg_stratified_cv,,,SVR-RBF,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",Ridge,0.47043500346277006,0.5703186772670114,0.7457968575501441,Internal 5-fold CV,internal_xg_stratified_cv,,,Ridge,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",XGBoost,0.17938356776174894,0.2245194929893487,0.9606038455206989,Internal 5-fold CV,internal_xg_stratified_cv,,,XGBoost,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",ExtraTrees,0.19646143198433777,0.2505837466476208,0.9509259927380175,Internal 5-fold CV,internal_xg_stratified_cv,,,Extra Trees,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",RandomForest,0.2267048453077735,0.2706727439978224,0.9427421841440998,Internal 5-fold CV,internal_xg_stratified_cv,,,Random forest,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
saos_scalar,log10_Gp_1Hz,"yp_pct,xanthan_pct",GradientBoosting,0.1395865464083655,0.170350604599716,0.9773205204226636,Internal 5-fold CV,internal_xg_stratified_cv,,,Gradient boosting,Gp1Hz,0,$G'$ at 1 Hz,log$_{10}$ $G'$ at 1 Hz (Pa),log10 Pa
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",GPR_Matern_ARD,0.0865101215402115,0.0952397420230217,0.9420105001297526,External validation,external_predict,,8.0,GPR-Matern-ARD,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",KernelRidge_RBF,0.0744266998514776,0.0894515277702474,0.9488449554387022,External validation,external_predict,,8.0,KRR-RBF,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
